address,size,rent,personer,dagar,time,url
Maltgatan  4 / 1109,25,5 867,12,454,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=716c4a374d657834497a6e414466475a4b78515638796f73356841466e326746
Maltgatan 12 / 1206,29,6 261,11,882,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=575135457a6a2b75746a7131696f755772664861534f6d326f34776664674d62
Maltgatan  8 / 1308,42,9 186,13,495,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=3248707131484862775432753376476f634268304c45516536682f4e46656e4a
Armégatan 32 B / 1204,20,6 139,9,152,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=69436e696c53636c6f7352666866794f49643076734f4145485574616f6f4d4b
Emmylundsvägen 3 / 1313,18,3 496,8,149,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4d73646559547052467248517a387769767531534b664e317945703633517739
Emmylundsvägen 1 / 1407,18,3 496,6,144,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=374836674239373445305966772b4936336f335350325a4d35676f61314c634c
Emmylundsvägen 1 / 1510,18,3 496,8,149,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=414446726453684f325361392f7879706d5563325661616a58312b743948554b
Emmylundsvägen 3 / 1602,18,3 678,7,163,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6d5a525376434c4e6a676e5776712b54444d5a346a4b63442f392b514e48746d
Emmylundsvägen 3 / 1712,17,3 496,12,149,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=77364e4d4e76312f48694e52644e55674b4a67595833356c5663625a416d372f
Emmylundsvägen 5 / 1114,22,4 475,18,1192,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=36367941516458474a446d6f425a5271784d5448782f6967356f5578324f4735
Kungshamra 31 / 1220,19,3 302,13,128,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4b66567552636e59492b316b466b766f56735538466f6e4c744945673556426c
Kungshamra 71 / 1013,19,4 148,8,113,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4c656e7048466454626368494a743473422f436c51336f6c2f33766f7a384167
Kungshamra 71 / 1204,19,4 148,8,113,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=5935725130516f566c69364d68704750676e6f61452f76774438784d634f3570
Kungshamra 71 / 1212,19,4 148,5,119,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=32495341393372374b55753963416b2f635831744a586b6d327435686a5a5159
Kungshamra 71 / 1301,19,4 148,10,113,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4767504c4251545965443369376c54752b483474645949574c6148484b736e33
Kungshamra 81 / 1204,23,4 598,15,650,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=7a32502b5a5336654f7465646956614d757a364b4f30487735744e5936585353
Kungshamra 83 / 1106,23,4 536,10,650,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6b502b53776a65323150544f53446b745469492f6b3932513037386b37314673
Professorsslingan 10 / 1213,25,5 275,12,637,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=714b355041726b6b74706134496855417a344f34646741464848534a6964754f
Professorsslingan 51 / 1001,48,10 881,8,433,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=52676c506f414d72736f7749526f6f3232626652344a37445353536d6d4d7053
Röntgenvägen 1 / 1511,42,5 473,10,477,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=797150756d306a74345271696a772b52526d4a35524132697363654665664b6d
Emmylundsvägen 5 / 1212,36,6 802,11,1192,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4c3338455467545453364f552b784554447a4859422b343756304d6f6a6b6c78
Gustav III:s Boulevard 4 / 1601,26,5 720,10,972,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=374b33444350474c3748706d44375a77597648614d4c456b386779654f574d61
Forskarbacken 17 / 1104,18,3 720,16,422,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=444956454b734e37526f5a783834657a3662795347542b756c4e67336a666f4b
Forskarbacken 19 / 1106,18,3 714,18,433,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4d33585661304a57554a31534561774f55482f414865624472526a644178324a
Studentbacken 25 / 1615,17,4 154,9,115,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=7356614d35662f62596f68697957464d6b7156356f594e706734476377716149
Körsbärsvägen 4 A / 1317,20,4 239,13,427,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=7875576976616f6174366b6636495042316c435a3334774c64534d30484a6679
Professorsslingan 10 / 1309,24,5 550,12,617,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=546f4a5639364f63696c2f6b3365457376673366524b633654724c4f467a714b
Forskarbacken  7 / 1005,18,3 910,12,128,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=677271345a505244754d37597a6c753146796f466a6331756d38372f65674861
Armégatan 32 A / 1415,36,4 564,8,679,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=575459684361666f67626f6954534933335a2b61753241384e4c4a6735363761
Emmylundsvägen 3 / 1805,18,3 496,9,150,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=497057596c437141514f423249693871325136673943536b7964536e44303273
Studentbacken 21 / 1206,17,3 962,13,115,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=3344494e744539304d795a6c704241532f655176436e4c47476a7669756c6e38
Studentbacken 21 / 1317,41,6 321,19,1201,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=3855615441706c6464596c424e623147314457727a434a645069514953333639
Körsbärsvägen 4 B / 1317,18,4 095,15,427,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=7750756e474761392b6133543048595a55634764475566694f6e657549637036
Körsbärsvägen 4 C / 1311,18,3 918,13,288,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=774a2b554d572f4a75487634445055544b4935654d734f492f58553151344542
Körsbärsvägen 9 / 1604,36,6 495,12,895,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=666d306c7679665563376e4e65362b6e63592b5054626d7936524c725845322f
Edinsvägen 22 B / 1109,17,3 246,7,625,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=42637938726c532f6e6f48316f586d49705957665957304b7536755a6f747274
Röntgenvägen 1 / 2316,62,7 080,13,835,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6966586a6a47724272316e7646465a436f673544564c2f2b6c38536c44423678
Maltgatan  4 / 1109,25,5 867,12,454,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4179336a426773527344464d647062324864305a4536343364456a4a78493135
Maltgatan 12 / 1206,29,6 261,11,882,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=376c5a31617a752b786244536b68555a463747614a673267386755626a39544e
